"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","genome_size_estimation_rank","genome_size_estimation_distance","LCA","genus","family","order","class","phylum","clade","superkingdom","no rank","model_used","species","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_113","  7","ITS_2","Microsphaeropsis arundinis"," 413604",36255371.5389652,35852031.690979,36658711.3869515,"OK","family",3,"413604","107453","683158","92860","147541","4890","33154","2759","1","weighted_mean","413604","451868","715340","147538","451864","4751",NA,NA
"query_114","  7","ITS_2","Hyphodiscus hymeniophilus"," 353542",35032560.6,34823042.48,35242078.72,"OK","genus",2,"353542","353541","2907103","5178","147548","4890","33154","2759","1","weighted_mean","353542",NA,NA,"147538","451864","4751",NA,NA
"query_115","  7","ITS_2","Ijuhya corynospora","2015267",41775439.1418269,40003563.8060362,43547314.4776177,"OK","family",3,"2015267","426745","103887","5125","147550","4890","33154","2759","1","weighted_mean","2015267","222543",NA,"147538","451864","4751",NA,NA
"query_116","  6","ITS_2","Phaeomoniella chlamydospora"," 158046",27041983,26598013.6,27485952.4,"OK","species",1,"158046","158045","2231493","1618100","147545","4890","33154","2759","1","weighted_mean","158046","451870",NA,"147538","451864","4751",NA,NA
"query_117","  6","ITS_2","Rhizophlyctis rosea","  64517",44518006.6666667,41709994.1115993,47326019.2217341,"OK","species",1,"64517","64515","1396497","642610","451435","4761","33154","2759","1","weighted_mean","64517",NA,NA,NA,NA,"4751",NA,NA
"query_118","  5","ITS_2","Bacillicladium lobatum","1909408",29765559.12,29136664.603359,30394453.636641,"OK","family",3,"1909408","1909407","1233474","34395","147545","4890","33154","2759","1","weighted_mean","1909408","451870",NA,"147538","451864","4751",NA,NA
"query_119","  5","ITS_2","Fraxinicola fraxini"," 470489",42954911.3432099,41976566.5720331,43933256.1143867,"OK","family",3,"470489","2729006","5023","1111111","147541","4890","33154","2759","1","weighted_mean","470489","451868",NA,"147538","451864","4751",NA,NA
"query_120","  5","ITS_2","Sarea sp.","2040954",NA,NA,NA,"Not enough genome size references for close taxa",NA,NA,"2040954","273281","2820411","2820409","2820408","4890","33154","2759","1",NA,"2040954",NA,NA,"147538","451864","4751",NA,NA
"query_121"," 68","ITS_1","Podospora","   5144",37639891.5454545,36368624.1902237,38911158.9006853,"OK","genus",1,"5144","5144","2609812","5139","147550","4890","33154","2759","1","weighted_mean",NA,"222544",NA,"147538","451864","4751",NA,NA
"query_122"," 34","ITS_1","Podila minutissima","  64525",39166467.5,38986230.31,39346704.69,"OK","species",1,"64525","2779937","4854","214503","2212732","1913637","33154","2759","1","weighted_mean","64525",NA,NA,"1137986",NA,"4751",NA,NA
"query_123"," 33","ITS_1","Dactylella cylindrospora","1814901",37853168.2829231,37323905.1792769,38382431.3865692,"OK","family",3,"1814901","47025","47021","189479","189478","4890","33154","2759","1","weighted_mean","1814901",NA,NA,"147538","451864","4751",NA,NA
"query_124"," 25","ITS_1","Mucor moelleri","1302847",37174121.2156863,35485409.4126603,38862833.0187123,"OK","genus",2,"1302847","4830","34489","4827","2212703","1913637","33154","2759","1","weighted_mean","1302847",NA,"1344963","451507",NA,"4751",NA,NA
"query_125"," 23","ITS_1","Mortierella sp.","1715235",43627566.4666667,42898804.5400867,44356328.3932466,"OK","no rank",2,"1715235","4855","4854","214503","2212732","1913637","33154","2759","1","weighted_mean","1715235",NA,NA,"1137986",NA,"4751",NA,NA
"query_126"," 17","ITS_1","Alternaria japonica"," 119919",35852762.0067373,35371300.1816445,36334223.8318302,"OK","genus",3,"119919","5598","28556","92860","147541","4890","33154","2759","1","weighted_mean","119919","451868","715340","147538","451864","4751",NA,"2499259"
"query_127"," 16","ITS_1","Paraconiothyrium sp.","1696682",39523179,39497433.42,39548924.58,"OK","genus",3,"1696682","300251","221678","92860","147541","4890","33154","2759","1","weighted_mean","1696682","451868","1255046","147538","451864","4751",NA,NA
"query_128"," 14","ITS_1","Serendipita vermifera"," 109899",35659833,35472100.28,35847565.72,"OK","species",1,"109899","358905","1506295","297313","155619","5204","33154","2759","1","weighted_mean","109899",NA,NA,"5302","451864","4751",NA,NA
"query_129"," 12","ITS_1","Chaetomium","   5149",34121489.3125,33691368.7582095,34551609.8667905,"OK","genus",1,"5149","5149","35718","5139","147550","4890","33154","2759","1","weighted_mean",NA,"222544",NA,"147538","451864","4751",NA,NA
"query_130"," 11","ITS_1","Pragmopora cf. piceae","2653547",26803238.5,26429301.615,27177175.385,"OK","family",3,"2653547","2576843","2576842","2793949","147548","4890","33154","2759","1","weighted_mean","2653547",NA,NA,"147538","451864","4751",NA,NA
"query_131"," 10","ITS_1","Coleophoma ericicola","1849048",42736542.3333333,41782651.0348323,43690433.6318344,"OK","genus",2,"1849048","453209","76657","5178","147548","4890","33154","2759","1","weighted_mean","1849048",NA,NA,"147538","451864","4751",NA,NA
"query_132","  9","ITS_1","Neonectria neomacrospora","  78403",39289873.837037,38731271.2218516,39848476.4522225,"OK","genus",2,"78403","140106","110618","5125","147550","4890","33154","2759","1","weighted_mean","78403","222543",NA,"147538","451864","4751",NA,NA
"query_133","  9","ITS_1","Digitopodium cannae","2571989",32625701.7089796,32066070.040663,33185333.3772963,"OK","family",3,"2571989","2571987","43219","34395","147545","4890","33154","2759","1","weighted_mean","2571989","451870",NA,"147538","451864","4751",NA,NA
"query_134","  8","ITS_1","Clonostachys"," 110564",56959735.2527473,56120736.945106,57798733.5603885,"OK","genus",1,"110564","110564","103887","5125","147550","4890","33154","2759","1","weighted_mean",NA,"222543",NA,"147538","451864","4751",NA,NA
"query_135","  8","ITS_1","Saitozyma ninhbinhensis"," 388101",38658502.8508772,31619845.6816374,45697160.020117,"OK","genus",2,"388101","1890244","1890237","5234","155616","5204","33154","2759","1","weighted_mean","388101",NA,NA,"5302","451864","4751",NA,NA
"query_136","  6","ITS_1","Entomortierella beljakovae"," 979673",37841323.3,37144313.6571297,38538332.9428703,"OK","genus",2,"979673","2779859","4854","214503","2212732","1913637","33154","2759","1","weighted_mean","979673",NA,NA,"1137986",NA,"4751",NA,NA
"query_137","  6","ITS_1","Articulospora proliferata"," 556895",41952431.5714286,41819423.5214286,42085439.6214286,"OK","family",3,"556895","253308","2794838","5178","147548","4890","33154","2759","1","weighted_mean","556895",NA,NA,"147538","451864","4751",NA,NA
"query_138","  6","ITS_1","Fusarium oxysporum","   5507",52804881.8126685,52638789.5154316,52970974.1099054,"OK","species",1,"5507","5506","110618","5125","147550","4890","33154","2759","1","weighted_mean","5507","222543",NA,"147538","451864","4751","171631",NA
"query_139","  5","ITS_1","Ceratobasidium sp. FO 38200"," 386466",59951471.1666667,57607454.085735,62295488.2475984,"OK","no rank",2,"386466","5251","5250","36064","155619","5204","33154","2759","1","weighted_mean","386466",NA,NA,"5302","451864","4751",NA,NA
"query_140","  5","ITS_1","Mycena galopus","  41248",184359090.341935,173509202.921022,195208977.762849,"OK","genus",2,"41248","41247","2024004","5338","155619","5204","33154","2759","1","weighted_mean","41248","452333","2982316","5302","451864","4751",NA,NA
"query_141","  5","ITS_1","Dominikia sp.","2011914",125184403.791667,123575187.747784,126793619.83555,"OK","family",4,"2011914","1548385","36751","36750","214506","1913637","33154","2759","1","weighted_mean","2011914",NA,NA,"214504",NA,"4751",NA,NA
"query_142","  5","ITS_1","Scutellospora sp.","1931098",227759581.444444,206760232.22849,248758930.660398,"OK","family",4,"1931098","27382","36753","214509","214506","1913637","33154","2759","1","weighted_mean","1931098",NA,NA,"214504",NA,"4751",NA,NA
"query_143","  5","ITS_1","Sarea sp.","2040954",NA,NA,NA,"Not enough genome size references for close taxa",NA,NA,"2040954","273281","2820411","2820409","2820408","4890","33154","2759","1",NA,"2040954",NA,NA,"147538","451864","4751",NA,NA
"query_144","  5","ITS_1","Stropharia rugosoannulata","  68746",48751805.6666667,47946392.848586,49557218.4847473,"OK","species",1,"68746","68745","40562","5338","155619","5204","33154","2759","1","weighted_mean","68746","452333","2982305","5302","451864","4751",NA,NA
"query_145","  4","ITS_1","Orbilia atlantis","1798097",38552250.9833333,37787415.0927111,39317086.8739556,"OK","genus",2,"1798097","47022","47021","189479","189478","4890","33154","2759","1","weighted_mean","1798097",NA,NA,"147538","451864","4751",NA,NA
"query_146","  4","ITS_1","Mortierellaceae","   4854",41272664.8927387,40533224.4439772,42012105.3415003,"OK","family",1,"4854",NA,"4854","214503","2212732","1913637","33154","2759","1","weighted_mean",NA,NA,NA,"1137986",NA,"4751",NA,NA
"query_147","  4","ITS_1","Articulospora tetracladia"," 253309",41898739.1538462,41765731.1038462,42031747.2038462,"OK","family",3,"253309","253308","2794838","5178","147548","4890","33154","2759","1","weighted_mean","253309",NA,NA,"147538","451864","4751",NA,NA
"query_148","  4","ITS_1","Stagonospora pseudopaludosa","1414640",37213739.875,35779389.687787,38648090.062213,"OK","family",3,"1414640","54788","290882","92860","147541","4890","33154","2759","1","weighted_mean","1414640","451868","1255046","147538","451864","4751",NA,NA
"query_149","  4","ITS_1","Allophylaria subliciformis","2478803",40275483.3618083,39913905.4776585,40637061.245958,"OK","order",4,"2478803","2478802","2488219","5178","147548","4890","33154","2759","1","weighted_mean","2478803",NA,NA,"147538","451864","4751",NA,NA
"query_150","  4","ITS_1","Pestalotiopsis mangiferae"," 748176",47425022.3,47023573.7723947,47826470.8276053,"OK","genus",2,"748176","37840","1812776","37989","147550","4890","33154","2759","1","weighted_mean","748176","222545",NA,"147538","451864","4751",NA,NA
"query_151","313","16S_3","Acidobacteriaceae"," 204434",4821360.91514331,4689750.02593004,4952971.80435658,"OK","family",1,"204434",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_152"," 88","16S_3","Bacillaceae"," 186817",4591108.66296344,4572336.24503258,4609881.08089429,"OK","family",1,"186817",NA,"186817","1385","91061","1239","1783272","2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_153"," 79","16S_3","Actinoallomurus sp.","1872127",6436989.5,5788637.480787,7085341.519213,"OK","species",1,"1872127","667113","2012","85012","1760","201174","1783272","2","1","weighted_mean","1872127",NA,NA,NA,NA,NA,NA,NA
"query_154"," 78","16S_3","Mycobacterium","   1763",5698532.49895791,5646803.03777707,5750261.96013874,"OK","genus",1,"1763","1763","1762","85007","1760","201174","1783272","2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_155"," 74","16S_3","Acidobacteriaceae bacterium","2052142",4004784.32805071,3956501.93224926,4053066.72385216,"OK","species",1,"2052142",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean","2052142",NA,NA,NA,NA,NA,NA,NA
"query_156"," 45","16S_3","Opitutus sp.","1913982",3692303.48387097,3458260.62034799,3926346.34739395,"OK","species",1,"1913982","178440","134623","415000","414999","74201","1783257","2","1","weighted_mean","1913982",NA,NA,NA,NA,NA,NA,NA
"query_157"," 36","16S_3","Alloacidobacterium dinghuense","2763107",5831575.2,5113661.82666667,6549488.57333333,"OK","genus",2,"2763107","2951993","204434","204433","204432","57723",NA,"2","1","weighted_mean","2763107",NA,NA,NA,NA,NA,NA,NA
"query_158"," 33","16S_3","Blastochloris","  59282",3399248.0625,3088958.01319737,3709538.11180263,"OK","genus",1,"59282","59282","2831090","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_159"," 32","16S_3","bacterium Ellin5058"," 234245",4424371.30255006,4108520.60355715,4740222.00154298,"OK","no rank",2,"234245",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean","234245",NA,NA,NA,NA,NA,NA,NA
"query_160"," 26","16S_3","Terracidiphilus gabretensis","1577687",5119104.39069767,4749132.16217054,5489076.61922481,"OK","genus",2,"1577687","1768185","204434","204433","204432","57723",NA,"2","1","weighted_mean","1577687",NA,NA,NA,NA,NA,NA,NA
"query_161"," 25","16S_3","Gallionella sp.","2052161",2260661.58928571,2200987.66607613,2320335.5124953,"OK","species",1,"2052161","96","90627","32003","28216","1224",NA,"2","1","weighted_mean","2052161",NA,NA,NA,NA,NA,NA,NA
"query_162"," 23","16S_3","Syntrophobacter wolinii","  29527",4154643.56746032,3775288.25855206,4533998.87636857,"OK","genus",2,"29527","29526","213465","213462","3024408","200940",NA,"2","1","weighted_mean","29527",NA,NA,NA,NA,NA,NA,NA
"query_163"," 23","16S_3","Paenibacillus sp. 27-9"," 519770",6649804.37043226,6622742.74990792,6676865.9909566,"OK","no rank",2,"519770","44249","186822","1385","91061","1239","1783272","2","1","weighted_mean","519770",NA,NA,NA,NA,NA,NA,NA
"query_164"," 23","16S_3","Acidobacteriaceae bacterium LWQ3","1387378",4424371.30255006,4108520.60355715,4740222.00154298,"OK","no rank",2,"1387378",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean","1387378",NA,NA,NA,NA,NA,NA,NA
"query_165"," 19","16S_3","unclassified Bradyrhizobium","2631580",8053629.35777307,8012992.67383749,8094266.04170864,"OK","no rank",1,"2631580","374","41294","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_166"," 17","16S_3","Rhodoplanes","  29407",5823781.10555556,5040305.06123946,6607257.14987165,"OK","genus",1,"29407","29407","45401","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_167"," 15","16S_3","Ktedonobacter sp.","1932716",3676795.77777778,3413720.10620412,3939871.44935144,"OK","species",1,"1932716","363276","388449","388448","388447","200795","1783272","2","1","weighted_mean","1932716",NA,NA,NA,NA,NA,NA,NA
"query_168"," 13","16S_3","Acidobacterium capsulatum","  33075",4300650.99710145,4014310.76179681,4586991.23240609,"OK","genus",2,"33075","33973","204434","204433","204432","57723",NA,"2","1","weighted_mean","33075",NA,NA,NA,NA,NA,NA,NA
"query_169"," 12","16S_3","Sideroxydans"," 314343",NA,NA,NA,"Confidence interval to estimated size ratio > ci_threshold",NA,NA,"314343","314343","90627","32003","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"query_170"," 12","16S_3","Rhodopila globiformis","   1071",6791598.6501548,6343582.59467012,7239614.70563948,"OK","genus",2,"1071","1070","433","204441","28211","1224",NA,"2","1","weighted_mean","1071",NA,NA,NA,NA,NA,NA,NA
"query_171"," 12","16S_3","Granulicella sp.","1969471",3566997.38709677,3456657.75166034,3677337.0225332,"OK","species",1,"1969471","940557","204434","204433","204432","57723",NA,"2","1","weighted_mean","1969471",NA,NA,NA,NA,NA,NA,NA
"query_172"," 11","16S_3","unclassified Rhizomicrobium","2649895",NA,NA,NA,"Confidence interval to estimated size ratio > ci_threshold",NA,NA,"2649895","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"query_173"," 11","16S_3","bacterium Ellin342"," 204668",4424371.30255006,4108520.60355715,4740222.00154298,"OK","no rank",2,"204668",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean","204668",NA,NA,NA,NA,NA,NA,NA
"query_174"," 11","16S_3","Spirochaeta sp.","  28185",2788768.16666667,2507327.64145936,3070208.69187397,"OK","species",1,"28185","146","137","136","203692","203691",NA,"2","1","weighted_mean","28185",NA,NA,NA,NA,NA,NA,NA
"query_175"," 11","16S_3","Rhizomicrobium sp. URHD0049","1703066",NA,NA,NA,"Confidence interval to estimated size ratio > ci_threshold",NA,NA,"1703066","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,"1703066",NA,NA,NA,NA,NA,NA,NA
"query_176"," 10","16S_3","Trebonia kvetii","2480626",8478497.86031746,7210919.89883598,9746075.82179894,"OK","genus",2,"2480626","2767073","2767072","85012","1760","201174","1783272","2","1","weighted_mean","2480626",NA,NA,NA,NA,NA,NA,NA
"query_177","  9","16S_3","Acidobacteriaceae bacterium KBS 89","1267534",5375623.72102003,5059773.02202711,5691474.42001294,"OK","no rank",2,"1267534",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean","1267534",NA,NA,NA,NA,NA,NA,NA
"query_178","  9","16S_3","Flavitalea sp.","1909289",3975566.5,3651872.98689672,4299260.01310328,"OK","species",1,"1909289","1210116","563835","1853229","1853228","976","1783270","2","1","weighted_mean","1909289",NA,NA,NA,NA,NA,NA,NA
"query_179","  8","16S_3","Acidisphaera sp.","1872116",2896360.69565217,2838109.96776198,2954611.42354236,"OK","species",1,"1872116","50714","433","204441","28211","1224",NA,"2","1","weighted_mean","1872116",NA,NA,NA,NA,NA,NA,NA
"query_180","  8","16S_3","unclassified Telmatobacter","2634852",5718671.74964846,5652866.30504182,5784477.19425509,"OK","family",3,"2634852","1078829","204434","204433","204432","57723",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
